time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1743206100,2025.03.28 23:55:00,3084.07,3085.21,3083.94,3085.21,181,20,0
1743382800,2025.03.31 01:00:00,3087.98,3093.28,3087.98,3092.49,317,20,0
1743383100,2025.03.31 01:05:00,3092.33,3097.61,3091.99,3095.76,380,20,0
1743383400,2025.03.31 01:10:00,3095.58,3095.60,3090.06,3090.63,365,20,0
1743383700,2025.03.31 01:15:00,3090.56,3090.81,3089.23,3090.03,326,20,0
1743384000,2025.03.31 01:20:00,3090.03,3091.59,3090.00,3090.98,266,20,0
1743384300,2025.03.31 01:25:00,3090.98,3090.98,3089.11,3089.18,194,20,0
1743384600,2025.03.31 01:30:00,3088.79,3089.54,3088.53,3088.85,210,20,0
1743384900,2025.03.31 01:35:00,3088.85,3090.56,3088.84,3089.69,156,20,0
1743385200,2025.03.31 01:40:00,3089.70,3090.01,3088.87,3089.33,154,20,0
1743385500,2025.03.31 01:45:00,3089.33,3089.88,3089.00,3089.40,117,20,0
1743385800,2025.03.31 01:50:00,3089.38,3089.98,3089.27,3089.77,133,20,0
1743386100,2025.03.31 01:55:00,3089.77,3090.62,3089.60,3090.00,194,20,0
1743386400,2025.03.31 02:00:00,3090.01,3090.83,3088.46,3088.72,271,20,0
1743386700,2025.03.31 02:05:00,3088.72,3088.89,3088.03,3088.48,194,20,0
1743387000,2025.03.31 02:10:00,3088.83,3090.66,3088.75,3090.04,213,20,0
1743387300,2025.03.31 02:15:00,3090.08,3090.34,3089.12,3089.27,200,20,0
1743387600,2025.03.31 02:20:00,3089.27,3089.97,3089.02,3089.93,144,20,0
1743387900,2025.03.31 02:25:00,3089.93,3090.63,3088.90,3089.48,201,20,0
1743388200,2025.03.31 02:30:00,3089.53,3089.84,3088.60,3088.84,203,20,0
1743388500,2025.03.31 02:35:00,3088.84,3089.59,3087.91,3088.85,228,20,0
1743388800,2025.03.31 02:40:00,3088.85,3088.86,3088.37,3088.81,163,20,0
1743389100,2025.03.31 02:45:00,3088.80,3089.18,3088.26,3088.94,159,20,0
1743389400,2025.03.31 02:50:00,3088.94,3089.31,3088.47,3089.25,143,20,0
1743389700,2025.03.31 02:55:00,3089.25,3089.66,3088.59,3089.06,142,20,0
1743390000,2025.03.31 03:00:00,3089.07,3089.63,3085.49,3085.73,338,20,0
1743390300,2025.03.31 03:05:00,3085.61,3086.14,3084.53,3086.08,334,20,0
1743390600,2025.03.31 03:10:00,3086.08,3087.51,3085.99,3087.28,224,20,0
1743390900,2025.03.31 03:15:00,3087.23,3088.49,3086.57,3086.85,330,20,0
1743391200,2025.03.31 03:20:00,3086.72,3086.85,3085.63,3085.82,276,20,0
1743391500,2025.03.31 03:25:00,3085.83,3086.41,3082.63,3084.20,285,20,0
1743391800,2025.03.31 03:30:00,3084.20,3084.45,3083.03,3083.03,333,20,0
1743392100,2025.03.31 03:35:00,3083.03,3084.11,3083.01,3083.90,303,20,0
1743392400,2025.03.31 03:40:00,3083.88,3084.25,3083.30,3083.89,245,20,0
1743392700,2025.03.31 03:45:00,3083.89,3084.38,3083.07,3083.76,246,20,0
1743393000,2025.03.31 03:50:00,3083.76,3083.78,3080.14,3080.24,325,20,0
1743393300,2025.03.31 03:55:00,3080.13,3080.34,3077.49,3079.04,394,20,0
1743393600,2025.03.31 04:00:00,3079.01,3080.15,3076.76,3079.87,514,20,0
1743393900,2025.03.31 04:05:00,3079.84,3083.48,3079.69,3081.38,498,20,0
1743394200,2025.03.31 04:10:00,3081.38,3081.65,3078.89,3081.07,415,20,0
1743394500,2025.03.31 04:15:00,3081.05,3082.19,3078.91,3082.19,460,20,0
1743394800,2025.03.31 04:20:00,3082.18,3089.13,3082.18,3088.67,451,20,0
1743395100,2025.03.31 04:25:00,3088.82,3091.73,3088.07,3091.58,462,20,0
1743395400,2025.03.31 04:30:00,3091.67,3095.22,3090.28,3094.64,503,20,0
1743395700,2025.03.31 04:35:00,3094.69,3095.07,3090.05,3091.96,476,20,0
1743396000,2025.03.31 04:40:00,3091.96,3092.74,3090.74,3092.01,447,20,0
1743396300,2025.03.31 04:45:00,3092.02,3092.70,3090.30,3092.24,452,20,0
1743396600,2025.03.31 04:50:00,3092.20,3093.64,3090.85,3092.69,400,20,0
1743396900,2025.03.31 04:55:00,3092.68,3094.90,3091.70,3094.80,426,20,0
1743397200,2025.03.31 05:00:00,3094.80,3098.03,3093.90,3096.11,445,20,0
1743397500,2025.03.31 05:05:00,3096.09,3098.85,3095.59,3098.81,441,20,0
1743397800,2025.03.31 05:10:00,3098.81,3099.48,3097.56,3098.75,404,20,0
1743398100,2025.03.31 05:15:00,3098.77,3099.78,3096.97,3099.07,337,20,0
1743398400,2025.03.31 05:20:00,3099.09,3106.60,3097.59,3097.69,483,20,0
1743398700,2025.03.31 05:25:00,3097.63,3102.71,3096.16,3098.82,475,20,0
1743399000,2025.03.31 05:30:00,3098.72,3106.79,3098.10,3106.37,486,20,0
1743399300,2025.03.31 05:35:00,3106.36,3106.98,3103.76,3104.65,467,20,0
1743399600,2025.03.31 05:40:00,3104.58,3107.06,3103.66,3103.91,431,20,0
1743399900,2025.03.31 05:45:00,3104.02,3105.27,3102.50,3102.50,393,20,0
1743400200,2025.03.31 05:50:00,3102.48,3105.70,3099.39,3104.00,450,20,0
1743400500,2025.03.31 05:55:00,3104.01,3106.94,3103.44,3106.77,391,20,0
1743400800,2025.03.31 06:00:00,3106.66,3107.38,3105.85,3106.98,382,20,0
1743401100,2025.03.31 06:05:00,3107.09,3111.18,3106.90,3109.72,436,20,0
1743401400,2025.03.31 06:10:00,3109.72,3111.72,3108.27,3108.88,414,20,0
1743401700,2025.03.31 06:15:00,3108.88,3111.16,3108.02,3108.83,389,20,0
1743402000,2025.03.31 06:20:00,3108.86,3109.82,3105.14,3106.75,355,20,0
1743402300,2025.03.31 06:25:00,3106.69,3108.50,3106.63,3108.05,321,20,0
1743402600,2025.03.31 06:30:00,3108.14,3110.82,3106.34,3107.24,328,20,0
1743402900,2025.03.31 06:35:00,3107.25,3109.13,3105.85,3107.73,381,20,0
1743403200,2025.03.31 06:40:00,3107.73,3108.24,3106.83,3107.40,243,20,0
1743403500,2025.03.31 06:45:00,3107.40,3108.30,3107.32,3107.47,236,20,0
1743403800,2025.03.31 06:50:00,3107.48,3108.17,3106.67,3108.17,238,20,0
1743404100,2025.03.31 06:55:00,3108.17,3108.79,3106.66,3107.04,255,20,0
1743404400,2025.03.31 07:00:00,3107.06,3107.39,3106.03,3106.89,267,20,0
1743404700,2025.03.31 07:05:00,3106.70,3108.95,3105.88,3108.83,204,20,0
1743405000,2025.03.31 07:10:00,3108.68,3109.52,3106.06,3109.38,230,20,0
1743405300,2025.03.31 07:15:00,3109.47,3109.65,3109.04,3109.56,222,20,0
