time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1756425300,2025.08.28 23:55:00,3417.32,3417.32,3416.77,3416.91,198,14,0
1756429200,2025.08.29 01:00:00,3418.47,3418.47,3416.45,3416.90,276,14,0
1756429500,2025.08.29 01:05:00,3416.90,3417.30,3416.46,3416.99,188,14,0
1756429800,2025.08.29 01:10:00,3417.01,3417.88,3416.53,3417.27,228,14,0
1756430100,2025.08.29 01:15:00,3417.27,3417.43,3417.08,3417.23,145,14,0
1756430400,2025.08.29 01:20:00,3417.24,3417.83,3417.24,3417.52,145,14,0
1756430700,2025.08.29 01:25:00,3417.50,3417.67,3416.63,3416.79,122,14,0
1756431000,2025.08.29 01:30:00,3416.79,3417.00,3415.99,3416.24,215,14,0
1756431300,2025.08.29 01:35:00,3416.31,3416.46,3415.70,3416.32,189,14,0
1756431600,2025.08.29 01:40:00,3416.28,3416.42,3416.05,3416.28,125,14,0
1756431900,2025.08.29 01:45:00,3416.28,3416.38,3416.11,3416.26,114,14,0
1756432200,2025.08.29 01:50:00,3416.28,3416.65,3416.21,3416.65,94,14,0
1756432500,2025.08.29 01:55:00,3416.65,3416.93,3416.49,3416.83,78,14,0
1756432800,2025.08.29 02:00:00,3416.86,3416.86,3416.36,3416.38,88,14,0
1756433100,2025.08.29 02:05:00,3416.41,3416.51,3416.18,3416.18,77,14,0
1756433400,2025.08.29 02:10:00,3416.19,3416.33,3416.10,3416.21,101,14,0
1756433700,2025.08.29 02:15:00,3416.21,3416.71,3416.17,3416.52,78,14,0
1756434000,2025.08.29 02:20:00,3416.43,3416.64,3416.35,3416.57,69,14,0
1756434300,2025.08.29 02:25:00,3416.54,3416.55,3415.68,3415.78,86,14,0
1756434600,2025.08.29 02:30:00,3415.78,3416.18,3415.49,3415.69,111,14,0
1756434900,2025.08.29 02:35:00,3415.69,3415.97,3415.24,3415.36,92,14,0
1756435200,2025.08.29 02:40:00,3415.36,3415.53,3415.14,3415.18,74,14,0
1756435500,2025.08.29 02:45:00,3415.18,3415.63,3415.11,3415.39,89,14,0
1756435800,2025.08.29 02:50:00,3415.39,3415.91,3415.01,3415.63,129,14,0
1756436100,2025.08.29 02:55:00,3415.63,3415.63,3414.81,3414.81,155,14,0
1756436400,2025.08.29 03:00:00,3414.78,3416.36,3414.72,3416.30,290,14,0
1756436700,2025.08.29 03:05:00,3416.30,3417.11,3415.63,3416.79,304,14,0
1756437000,2025.08.29 03:10:00,3416.79,3417.48,3416.53,3417.24,215,14,0
1756437300,2025.08.29 03:15:00,3417.25,3417.87,3415.37,3415.48,358,14,0
1756437600,2025.08.29 03:20:00,3415.49,3415.49,3413.53,3413.54,327,14,0
1756437900,2025.08.29 03:25:00,3413.54,3414.70,3413.06,3414.65,197,14,0
1756438200,2025.08.29 03:30:00,3414.65,3415.24,3413.56,3413.67,320,14,0
1756438500,2025.08.29 03:35:00,3413.67,3414.62,3413.65,3414.40,220,14,0
1756438800,2025.08.29 03:40:00,3414.40,3414.63,3413.48,3413.67,239,14,0
1756439100,2025.08.29 03:45:00,3413.67,3414.62,3413.05,3413.63,365,14,0
1756439400,2025.08.29 03:50:00,3413.64,3415.16,3413.52,3414.81,343,14,0
1756439700,2025.08.29 03:55:00,3414.81,3415.29,3413.34,3413.52,286,14,0
1756440000,2025.08.29 04:00:00,3413.52,3413.65,3412.01,3412.18,486,14,0
1756440300,2025.08.29 04:05:00,3412.18,3412.95,3411.41,3412.23,412,14,0
1756440600,2025.08.29 04:10:00,3412.23,3412.45,3411.18,3411.72,423,14,0
1756440900,2025.08.29 04:15:00,3411.72,3412.61,3411.11,3411.18,425,14,0
1756441200,2025.08.29 04:20:00,3411.15,3411.44,3410.47,3410.68,387,14,0
1756441500,2025.08.29 04:25:00,3410.65,3411.64,3409.92,3410.30,289,14,0
1756441800,2025.08.29 04:30:00,3410.30,3410.57,3409.57,3409.57,416,14,0
1756442100,2025.08.29 04:35:00,3409.52,3410.18,3407.89,3408.03,488,14,0
1756442400,2025.08.29 04:40:00,3408.00,3410.69,3407.94,3410.49,413,14,0
1756442700,2025.08.29 04:45:00,3410.47,3410.85,3409.54,3409.97,401,14,0
1756443000,2025.08.29 04:50:00,3410.00,3410.68,3409.13,3409.84,431,14,0
1756443300,2025.08.29 04:55:00,3409.84,3410.35,3409.34,3409.91,471,14,0
1756443600,2025.08.29 05:00:00,3409.84,3411.85,3409.84,3411.58,548,14,0
1756443900,2025.08.29 05:05:00,3411.58,3412.40,3410.86,3412.10,300,14,0
1756444200,2025.08.29 05:10:00,3412.04,3412.82,3411.53,3412.76,293,14,0
