time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1777334100,2026.04.27 23:55:00,4679.17,4679.98,4678.86,4679.98,166,15,0
1777338000,2026.04.28 01:00:00,4684.25,4685.01,4682.53,4682.61,315,15,0
1777338300,2026.04.28 01:05:00,4682.56,4689.42,4682.52,4688.87,547,15,0
1777338600,2026.04.28 01:10:00,4688.89,4691.15,4688.58,4689.11,427,15,0
1777338900,2026.04.28 01:15:00,4689.26,4689.90,4687.34,4688.37,354,15,0
1777339200,2026.04.28 01:20:00,4688.36,4688.41,4687.00,4687.49,260,14,0
1777339500,2026.04.28 01:25:00,4687.48,4689.38,4687.48,4689.08,233,14,0
1777339800,2026.04.28 01:30:00,4689.08,4689.67,4688.63,4688.93,323,15,0
1777340100,2026.04.28 01:35:00,4688.93,4688.98,4687.04,4687.92,228,15,0
1777340400,2026.04.28 01:40:00,4687.92,4688.93,4686.68,4687.40,221,15,0
1777340700,2026.04.28 01:45:00,4687.40,4687.66,4686.20,4687.05,234,14,0
1777341000,2026.04.28 01:50:00,4687.03,4687.84,4686.43,4687.50,220,15,0
1777341300,2026.04.28 01:55:00,4687.50,4688.18,4686.99,4687.93,213,14,0
1777341600,2026.04.28 02:00:00,4687.90,4689.46,4687.31,4688.59,264,14,0
1777341900,2026.04.28 02:05:00,4688.60,4688.62,4687.37,4688.17,213,14,0
1777342200,2026.04.28 02:10:00,4688.17,4689.86,4687.46,4689.83,221,14,0
1777342500,2026.04.28 02:15:00,4689.89,4691.35,4689.54,4691.10,284,14,0
1777342800,2026.04.28 02:20:00,4691.13,4691.37,4690.02,4690.90,252,14,0
1777343100,2026.04.28 02:25:00,4690.84,4691.61,4690.22,4690.77,243,14,0
1777343400,2026.04.28 02:30:00,4690.77,4692.18,4690.59,4692.05,255,14,0
1777343700,2026.04.28 02:35:00,4692.07,4694.32,4692.07,4693.54,317,14,0
1777344000,2026.04.28 02:40:00,4693.58,4694.46,4691.98,4694.40,348,14,0
1777344300,2026.04.28 02:45:00,4694.40,4695.08,4693.41,4694.69,325,14,0
1777344600,2026.04.28 02:50:00,4694.69,4695.01,4693.93,4694.79,300,14,0
1777344900,2026.04.28 02:55:00,4694.79,4694.80,4692.03,4692.06,250,14,0
1777345200,2026.04.28 03:00:00,4692.02,4697.47,4691.92,4697.17,550,15,0
1777345500,2026.04.28 03:05:00,4697.12,4701.33,4696.74,4700.22,602,16,0
1777345800,2026.04.28 03:10:00,4700.21,4701.27,4697.89,4697.93,499,16,0
1777346100,2026.04.28 03:15:00,4697.93,4699.48,4696.60,4697.06,501,16,0
1777346400,2026.04.28 03:20:00,4697.06,4697.53,4695.60,4696.90,504,16,0
1777346700,2026.04.28 03:25:00,4696.88,4697.77,4692.28,4695.10,597,16,0
1777347000,2026.04.28 03:30:00,4695.05,4695.28,4692.59,4693.18,575,16,0
1777347300,2026.04.28 03:35:00,4693.17,4694.72,4692.22,4692.22,489,16,0
1777347600,2026.04.28 03:40:00,4691.93,4694.59,4691.81,4693.68,491,16,0
1777347900,2026.04.28 03:45:00,4693.68,4694.67,4692.49,4693.95,424,16,0
1777348200,2026.04.28 03:50:00,4693.84,4694.19,4692.45,4693.09,424,16,0
1777348500,2026.04.28 03:55:00,4693.11,4693.64,4690.60,4690.75,452,16,0
1777348800,2026.04.28 04:00:00,4690.60,4690.99,4684.54,4689.43,927,16,0
1777349100,2026.04.28 04:05:00,4689.42,4690.61,4686.61,4688.92,781,16,0
1777349400,2026.04.28 04:10:00,4688.92,4690.77,4687.20,4688.06,731,16,0
1777349700,2026.04.28 04:15:00,4688.05,4689.45,4685.70,4689.25,707,16,0
1777350000,2026.04.28 04:20:00,4689.26,4690.66,4686.48,4689.54,758,16,0
1777350300,2026.04.28 04:25:00,4689.46,4689.79,4686.93,4687.61,644,16,0
1777350600,2026.04.28 04:30:00,4687.63,4687.86,4683.88,4684.15,769,16,0
1777350900,2026.04.28 04:35:00,4684.21,4690.22,4684.21,4690.22,677,16,0
1777351200,2026.04.28 04:40:00,4690.25,4691.39,4687.12,4687.28,673,16,0
1777351500,2026.04.28 04:45:00,4687.29,4687.68,4684.92,4685.00,677,16,0
1777351800,2026.04.28 04:50:00,4684.83,4685.39,4680.70,4680.80,847,16,0
1777352100,2026.04.28 04:55:00,4680.80,4680.96,4669.23,4670.78,954,16,0
1777352400,2026.04.28 05:00:00,4670.64,4673.43,4666.62,4672.74,910,16,0
1777352700,2026.04.28 05:05:00,4672.64,4676.56,4672.36,4675.17,812,16,0
1777353000,2026.04.28 05:10:00,4675.16,4677.83,4674.21,4677.40,715,16,0
1777353300,2026.04.28 05:15:00,4677.39,4679.71,4677.21,4678.06,516,16,0
1777353600,2026.04.28 05:20:00,4678.05,4679.43,4675.33,4675.33,513,16,0
1777353900,2026.04.28 05:25:00,4675.35,4677.49,4674.51,4675.50,607,16,0
1777354200,2026.04.28 05:30:00,4675.51,4675.51,4671.46,4673.62,833,16,0
1777354500,2026.04.28 05:35:00,4673.61,4673.85,4670.80,4671.09,722,16,0
1777354800,2026.04.28 05:40:00,4671.04,4673.21,4670.46,4670.91,657,16,0
1777355100,2026.04.28 05:45:00,4670.91,4671.18,4668.62,4670.13,717,16,0
1777355400,2026.04.28 05:50:00,4670.11,4670.92,4668.57,4670.73,680,16,0
1777355700,2026.04.28 05:55:00,4670.69,4670.69,4666.64,4669.09,726,16,0
1777356000,2026.04.28 06:00:00,4669.10,4671.90,4668.51,4671.09,718,16,0
1777356300,2026.04.28 06:05:00,4671.07,4673.30,4670.62,4672.82,659,16,0
1777356600,2026.04.28 06:10:00,4672.78,4674.16,4672.30,4672.91,537,16,0
1777356900,2026.04.28 06:15:00,4672.85,4673.78,4671.30,4673.34,545,16,0
1777357200,2026.04.28 06:20:00,4673.33,4675.09,4672.30,4672.77,490,16,0
1777357500,2026.04.28 06:25:00,4672.80,4675.67,4671.53,4674.81,585,16,0
1777357800,2026.04.28 06:30:00,4674.90,4675.36,4671.78,4672.45,489,16,0
1777358100,2026.04.28 06:35:00,4672.40,4674.00,4671.87,4673.19,428,16,0
1777358400,2026.04.28 06:40:00,4673.19,4673.80,4671.85,4671.96,379,16,0
1777358700,2026.04.28 06:45:00,4671.95,4672.69,4671.36,4671.50,373,16,0
1777359000,2026.04.28 06:50:00,4671.51,4671.75,4669.59,4669.70,333,16,0
1777359300,2026.04.28 06:55:00,4669.70,4671.66,4669.35,4670.94,384,16,0
1777359600,2026.04.28 07:00:00,4670.94,4671.26,4666.95,4667.98,439,16,0
1777359900,2026.04.28 07:05:00,4668.03,4669.02,4667.27,4667.96,381,16,0
1777360200,2026.04.28 07:10:00,4667.58,4669.83,4667.53,4669.76,443,16,0
1777360500,2026.04.28 07:15:00,4669.73,4669.76,4668.42,4668.66,329,16,0
1777360800,2026.04.28 07:20:00,4668.63,4668.63,4666.86,4667.08,386,16,0
1777361100,2026.04.28 07:25:00,4667.07,4667.77,4666.90,4667.42,276,16,0
1777361400,2026.04.28 07:30:00,4667.42,4669.01,4666.72,4668.60,367,16,0
1777361700,2026.04.28 07:35:00,4668.74,4669.11,4667.40,4668.87,374,16,0
