time_epoch,time,open,high,low,close,tick_volume,spread_points,real_volume
1785282900,2026.07.28 23:55:00,4028.43,4029.20,4028.14,4028.72,105,18,0
1785286800,2026.07.29 01:00:00,4028.02,4028.29,4025.60,4026.51,187,17,0
1785287100,2026.07.29 01:05:00,4026.51,4027.32,4026.10,4027.10,215,18,0
1785287400,2026.07.29 01:10:00,4027.10,4028.11,4024.50,4024.51,352,18,0
1785287700,2026.07.29 01:15:00,4024.51,4025.22,4022.35,4022.35,340,18,0
1785288000,2026.07.29 01:20:00,4022.29,4023.48,4017.36,4017.94,460,18,0
1785288300,2026.07.29 01:25:00,4017.83,4021.13,4017.55,4020.95,454,18,0
1785288600,2026.07.29 01:30:00,4020.92,4021.16,4013.91,4017.55,582,18,0
1785288900,2026.07.29 01:35:00,4017.44,4017.44,4014.23,4015.05,542,17,0
1785289200,2026.07.29 01:40:00,4015.06,4018.80,4015.06,4018.31,399,14,0
1785289500,2026.07.29 01:45:00,4018.37,4018.37,4015.39,4016.84,518,14,0
1785289800,2026.07.29 01:50:00,4016.85,4019.01,4016.21,4017.78,469,16,0
1785290100,2026.07.29 01:55:00,4017.85,4019.68,4017.72,4018.33,396,14,0
1785290400,2026.07.29 02:00:00,4018.33,4018.80,4016.43,4017.26,484,16,0
1785290700,2026.07.29 02:05:00,4017.08,4019.50,4016.44,4018.19,497,18,0
1785291000,2026.07.29 02:10:00,4018.19,4023.16,4018.09,4022.04,509,16,0
1785291300,2026.07.29 02:15:00,4022.13,4022.18,4015.71,4016.51,518,17,0
1785291600,2026.07.29 02:20:00,4016.51,4019.62,4016.43,4019.26,493,16,0
1785291900,2026.07.29 02:25:00,4019.26,4019.44,4015.15,4018.65,416,16,0
1785292200,2026.07.29 02:30:00,4018.65,4019.94,4017.44,4018.35,354,16,0
1785292500,2026.07.29 02:35:00,4018.35,4020.46,4018.24,4018.94,313,16,0
1785292800,2026.07.29 02:40:00,4018.94,4023.47,4018.23,4023.03,428,18,0
1785293100,2026.07.29 02:45:00,4022.96,4023.31,4019.10,4022.46,777,18,0
1785293400,2026.07.29 02:50:00,4022.68,4024.40,4020.95,4023.69,626,16,0
1785293700,2026.07.29 02:55:00,4023.69,4026.28,4022.94,4025.02,554,17,0
1785294000,2026.07.29 03:00:00,4025.02,4025.36,4017.72,4021.63,841,18,0
1785294300,2026.07.29 03:05:00,4021.96,4024.31,4017.66,4017.66,718,18,0
1785294600,2026.07.29 03:10:00,4017.67,4022.07,4017.67,4020.64,636,16,0
1785294900,2026.07.29 03:15:00,4020.64,4026.44,4020.52,4025.32,733,16,0
