trade_id,month,direction,route,setup_id,opportunity_id,attempt,opportunity_type,signal_bar_time,eligible_time,fill_time,exit_time,m15_background,m5_direction,m5_phase,local_regime,permission_reason,context_class,pullback_class,lifecycle_stage,lifecycle_log_reason,setup_stage,setup_origin,setup_observed_at,setup_extreme,signal_basis,optional_location,entry,sl,target,risk_distance,candidate_rr,actual_target_r,signal_close,entry_extension_r,signal_to_fill_minutes,volume,risk_usd,risk_pct,spread,slippage,commission,exit_price,exit_reason,net,mfe_r,mae_r,path_quality,same_setup_trade_count,signal_mechanical_verdict,signal_evidence,human_review_flags,plan_mechanical_verdict,plan_evidence,rule1_structure_gate,rule1_manual_note,rule2_pullback_stage,rule3_signal_timing,rule4_opportunity_identity,rule5_control_rr,five_rule_machine_verdict,result_interpretation,issue_bucket,human_choice,human_signal_bar,human_entry_method,human_reason
T001,2025_MARCH,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1741232100|1741237200,XAUUSD.s|1|1741232100|1741237200|A1,1,首次恢复,2025.03.06 06:50:00,2025.03.06 06:55:00,2025.03.06 06:55:00,2025.03.06 09:33:48,M15_BULL,M5_BEAR,PULLBACK,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.03.06 06:35,2916.36,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,2917.92,2914.36,2925.55,3.5600,2.1433,2.1433,2917.7200,0.0562,5,0.14,49.84,0.4984,0.20,0.00,0.00,2914.36,STOP,-49.84,1.4270,-1.0112,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
T002,2025_MARCH,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1741267800|1741268100,XAUUSD.s|1|1741267800|1741268100|A1,1,首次恢复,2025.03.06 13:55:00,2025.03.06 14:00:00,2025.03.06 14:00:00,2025.03.06 14:32:37,M15_BULL,M5_BULL,WEAKENING,PRIMARY_ALIGNED,ORDINARY_PAUSED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,CONFIRMED,ALIGNED_PULLBACK,2025.03.06 13:45,2903.66,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,2906.02,2900.90,2922.70,5.1200,3.2578,3.2578,2905.7600,0.0508,5,0.09,46.08,0.4631,0.20,0.00,0.00,2900.90,STOP,-46.08,0.2031,-1.0586,REAL_TICK,1,机械规则通过,Route、生命周期、权限、因果链和去重检查通过,,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,机械规则与计划均通过但亏损,,,,
T003,2025_MARCH,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1742964000|1742967000,XAUUSD.s|1|1742964000|1742967000|A1,1,首次恢复,2025.03.26 05:55:00,2025.03.26 06:00:00,2025.03.26 06:00:00,2025.03.26 06:15:01,M15_BULL,M5_BEAR,REVERSAL,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.03.26 05:55,3022.96,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,3024.41,3020.73,3033.24,3.6800,2.3995,2.3995,3024.2800,0.0353,5,0.13,47.84,0.4830,0.20,0.00,0.00,3020.73,STOP,-47.84,0.0000,-1.0082,REAL_TICK,2,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T004,2025_MARCH,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1742964000|1742967000,XAUUSD.s|1|1742964000|1742967000|A2,2,第二次测试,2025.03.26 08:25:00,2025.03.26 08:30:00,2025.03.26 08:30:00,2025.03.26 10:07:27,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.03.26 05:55,3022.96,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,3016.15,3011.31,3026.96,4.8400,2.2335,2.2335,3015.9500,0.0413,5,0.10,48.40,0.4911,0.20,0.00,0.00,3026.96,TARGET,108.10,2.2562,-0.1612,REAL_TICK,2,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T005,2025_MARCH,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1742995200|1742995800,XAUUSD.s|1|1742995200|1742995800|A1,1,首次恢复,2025.03.26 13:35:00,2025.03.26 13:40:00,2025.03.26 13:40:00,2025.03.26 16:48:44,M15_BULL,M5_BULL,PULLBACK,PRIMARY_ALIGNED,PRIMARY_AND_M5_ALIGNED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,CONFIRMED,ALIGNED_PULLBACK,2025.03.26 13:35,3021.43,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,3023.02,3019.43,3032.01,3.5900,2.5042,2.5042,3022.8300,0.0529,5,0.13,46.67,0.4684,0.20,0.00,0.00,3019.43,STOP,-46.67,2.0390,-1.0028,REAL_TICK,1,机械规则通过,Route、生命周期、权限、因果链和去重检查通过,,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,机械规则与计划均通过但亏损,,,,
T006,2025_MARCH,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1743080100|1743083400,XAUUSD.s|1|1743080100|1743083400|A1,1,首次恢复,2025.03.27 16:50:00,2025.03.27 16:55:00,2025.03.27 16:55:00,2025.03.27 17:39:34,M15_BULL,M5_BEAR,RESUME,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.03.27 16:30,3033.53,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,3039.00,3031.53,3055.70,7.4700,2.2356,2.2356,3038.7900,0.0281,5,0.06,44.82,0.4519,0.20,0.00,0.00,3055.70,TARGET,100.20,2.3775,-0.1593,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T007,2025_APRIL,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1744055100|1744056600,XAUUSD.s|-1|1744055100|1744056600|A1,1,首次恢复,2025.04.07 21:25:00,2025.04.07 21:30:00,2025.04.07 21:30:00,2025.04.07 21:38:34,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.07 20:55,2974.08,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,2969.65,2976.08,2956.66,6.4300,2.0202,2.0202,2969.6500,-0.0000,5,0.07,45.01,0.4501,0.20,0.00,0.00,2976.08,STOP,-45.01,0.1353,-1.0047,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T008,2025_APRIL,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1744069200|1744069500,XAUUSD.s|1|1744069200|1744069500|A1,1,首次恢复,2025.04.08 01:25:00,2025.04.08 01:30:00,2025.04.08 01:30:00,2025.04.09 09:33:38,M15_BEAR,M5_BULL,RESUME,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,TACTICAL_LOCAL_TREND,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,PRELIMINARY,TACTICAL_PULLBACK,2025.04.07 23:45,2981.19,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,2985.85,2962.10,3033.97,23.7500,2.0261,2.0261,2985.6500,0.0084,5,0.02,47.50,0.4771,0.20,0.00,0.00,3033.97,TARGET,96.24,2.0745,-0.6611,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,M15与M5分歧的战术局部趋势,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
T009,2025_APRIL,SELL,B_COMPLEX_H2_L2,XAUUSD.s|-1|1744108500|1744115400,XAUUSD.s|-1|1744108500|1744115400|A2,2,第二次测试,2025.04.08 14:35:00,2025.04.08 14:40:00,2025.04.08 14:40:00,2025.04.08 14:53:52,M15_BEAR,M5_BULL,PULLBACK,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.08 12:40,3008.75,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,3010.71,3016.13,2994.91,5.4200,2.9151,2.9151,3010.5000,-0.0387,5,0.09,48.78,0.4900,0.20,0.00,0.00,3016.13,STOP,-48.78,0.2989,-1.0129,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
T010,2025_APRIL,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1744874700|1744875000,XAUUSD.s|1|1744874700|1744875000|A2,2,第二次测试,2025.04.17 09:30:00,2025.04.17 09:35:00,2025.04.17 09:35:00,2025.04.17 09:44:16,M15_BULL,M5_BEAR,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_SIGNAL_ENTRY_READY,CONFIRMED,PRIMARY_RECOVERY,2025.04.17 07:30,3337.38,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,,3331.35,3329.55,3344.57,1.8000,7.3444,7.3444,3331.1600,0.1056,5,0.27,48.60,0.4859,0.20,0.00,0.00,3329.55,STOP,-48.60,0.9389,-1.0000,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
