sample_no,month,fill_time,route,side,attempt,outcome_group,net,mfe_r,setup_id,opportunity_id,context_class,signal_to_fill_minutes,entry_extension_r,selection_reason
S01,2025_APRIL,2025.04.08 01:30:00,A_HEALTHY_FIRST_RESUME,1,1,WIN,96.24,2.0745,XAUUSD.s|1|1744069200|1744069500,XAUUSD.s|1|1744069200|1744069500|A1,TACTICAL_LOCAL_TREND,5,0.0084,M15与M5分歧的战术局部趋势
S02,2025_APRIL,2025.04.23 19:55:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-40.00,1.9710,XAUUSD.s|-1|1745426100|1745426400,XAUUSD.s|-1|1745426100|1745426400|A1,PRIMARY_ALIGNED,5,0.0010,固定分层:A_HEALTHY_FIRST_RESUME|SELL|LOSS
S03,2025_APRIL,2025.04.28 18:40:00,B_COMPLEX_H2_L2,-1,2,LOSS,-46.41,0.2114,XAUUSD.s|-1|1745859900|1745860200,XAUUSD.s|-1|1745859900|1745860200|A2,PRIMARY_ALIGNED,5,-0.0019,固定分层:B_COMPLEX_H2_L2|SELL|LOSS
S04,2025_APRIL,2025.04.28 20:55:01,B_COMPLEX_H2_L2,-1,2,LOSS,-43.89,0.2440,XAUUSD.s|-1|1745869800|1745870100,XAUUSD.s|-1|1745869800|1745870100|A2,PRIMARY_ALIGNED,5,0.0287,固定分层:B_COMPLEX_H2_L2|SELL|LOSS
S05,2025_APRIL,2025.04.30 07:45:00,B_COMPLEX_H2_L2,1,2,LOSS,-46.13,1.3020,XAUUSD.s|1|1745995500|1745995800,XAUUSD.s|1|1745995500|1745995800|A2,PRIMARY_ALIGNED,5,0.0410,固定分层:B_COMPLEX_H2_L2|BUY|LOSS
S06,2025_SEPTEMBER,2025.09.03 02:50:00,A_HEALTHY_FIRST_RESUME,1,1,WIN,110.60,2.4286,XAUUSD.s|1|1756862700|1756863000,XAUUSD.s|1|1756862700|1756863000|A1,PRIMARY_ALIGNED,5,0.0411,固定分层:A_HEALTHY_FIRST_RESUME|BUY|WIN
S07,2025_SEPTEMBER,2025.09.03 03:10:01,A_HEALTHY_FIRST_RESUME,1,1,WIN,103.84,2.1239,XAUUSD.s|1|1756867800|1756868100,XAUUSD.s|1|1756867800|1756868100|A1,PRIMARY_ALIGNED,5,0.0376,固定分层:A_HEALTHY_FIRST_RESUME|BUY|WIN
S08,2025_SEPTEMBER,2025.09.04 21:10:00,A_HEALTHY_FIRST_RESUME,1,1,LOSS,-48.29,1.4305,XAUUSD.s|1|1756977600|1757009400,XAUUSD.s|1|1756977600|1757009400|A1,PRIMARY_ALIGNED,5,0.0273,固定分层:A_HEALTHY_FIRST_RESUME|BUY|LOSS
S09,2025_SEPTEMBER,2025.09.08 08:05:00,B_COMPLEX_H2_L2,1,2,WIN,122.87,2.6140,XAUUSD.s|1|1757315100|1757315400,XAUUSD.s|1|1757315100|1757315400|A2,PRIMARY_ALIGNED,5,0.0326,固定分层:B_COMPLEX_H2_L2|BUY|WIN
S10,2026_MARCH,2026.03.06 19:05:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-33.86,0.2481,XAUUSD.s|-1|1772822100|1772822400,XAUUSD.s|-1|1772822100|1772822400|A1,PRIMARY_ALIGNED,5,0.0213,同一setup多次入场尝试
S11,2026_MARCH,2026.03.06 21:25:00,B_COMPLEX_H2_L2,-1,2,LOSS,-43.40,2.0403,XAUUSD.s|-1|1772822100|1772822400,XAUUSD.s|-1|1772822100|1772822400|A2,PRIMARY_ALIGNED,5,-0.0000,同一setup多次入场尝试
S12,2026_MARCH,2026.03.17 19:55:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-43.98,0.0668,XAUUSD.s|-1|1773771900|1773772800,XAUUSD.s|-1|1773771900|1773772800|A1,PRIMARY_ALIGNED,5,-0.0000,固定分层:A_HEALTHY_FIRST_RESUME|SELL|LOSS
S13,2026_MARCH,2026.03.20 07:10:00,B_COMPLEX_H2_L2,-1,2,WIN,157.08,3.9899,XAUUSD.s|-1|1773983100|1773983400,XAUUSD.s|-1|1773983100|1773983400|A2,PRIMARY_ALIGNED,5,-0.0000,固定分层:B_COMPLEX_H2_L2|SELL|WIN
S14,2026_MARCH,2026.03.25 07:35:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-47.61,8.1342,XAUUSD.s|-1|1774418400|1774421400,XAUUSD.s|-1|1774418400|1774421400|A1,PRIMARY_ALIGNED,5,-0.0000,止损前MFE最高且达到2R
S15,2026_MARCH,2026.03.30 19:50:00,A_HEALTHY_FIRST_RESUME,-1,1,WIN,129.60,2.9097,XAUUSD.s|-1|1774888800|1774899000,XAUUSD.s|-1|1774888800|1774899000|A1,PRIMARY_ALIGNED,5,-0.0011,固定分层:A_HEALTHY_FIRST_RESUME|SELL|WIN
S16,2026_MAY,2026.05.01 10:15:00,B_COMPLEX_H2_L2,1,2,LOSS,-48.12,0.2394,XAUUSD.s|1|1777625100|1777625400,XAUUSD.s|1|1777625100|1777625400|A2,PRIMARY_ALIGNED,5,0.0237,固定分层:B_COMPLEX_H2_L2|BUY|LOSS
S17,2026_MAY,2026.05.01 11:35:00,B_COMPLEX_H2_L2,1,2,LOSS,-49.28,0.1250,XAUUSD.s|1|1777632000|1777632300,XAUUSD.s|1|1777632000|1777632300|A2,PRIMARY_ALIGNED,5,0.2857,确认后成交延伸较远:0.29R
S18,2026_MAY,2026.05.12 09:05:00,A_HEALTHY_FIRST_RESUME,-1,1,WIN,117.93,2.6184,XAUUSD.s|-1|1778576400|1778575200,XAUUSD.s|-1|1778576400|1778575200|A1,PRIMARY_ALIGNED,5,0.0020,固定分层:A_HEALTHY_FIRST_RESUME|SELL|WIN
S19,AUGUST,2026.08.10 12:45:00,A_HEALTHY_FIRST_RESUME,1,1,LOSS,-46.80,0.1573,XAUUSD.s|1|1786354800|1786356000,XAUUSD.s|1|1786354800|1786356000|A1,PRIMARY_ALIGNED,5,0.0274,固定分层:A_HEALTHY_FIRST_RESUME|BUY|LOSS
S20,AUGUST,2026.08.14 11:55:00,B_COMPLEX_H2_L2,1,2,WIN,132.96,2.7113,XAUUSD.s|1|1786704000|1786706100,XAUUSD.s|1|1786704000|1786706100|A2,TACTICAL_LOCAL_TREND,5,0.0245,固定分层:B_COMPLEX_H2_L2|BUY|WIN
