trade_id,month,opportunity_id,setup_id,candidate_match_count,combined_trade_match_count,duplicate_fill,status
T001,2025_MARCH,XAUUSD.s|1|1741232100|1741237200|A1,XAUUSD.s|1|1741232100|1741237200,1,1,NO,PASS
T002,2025_MARCH,XAUUSD.s|1|1741267800|1741268100|A1,XAUUSD.s|1|1741267800|1741268100,1,1,NO,PASS
T003,2025_MARCH,XAUUSD.s|1|1742964000|1742967000|A1,XAUUSD.s|1|1742964000|1742967000,1,1,NO,PASS
T004,2025_MARCH,XAUUSD.s|1|1742964000|1742967000|A2,XAUUSD.s|1|1742964000|1742967000,1,1,NO,PASS
T005,2025_MARCH,XAUUSD.s|1|1742995200|1742995800|A1,XAUUSD.s|1|1742995200|1742995800,1,1,NO,PASS
T006,2025_MARCH,XAUUSD.s|1|1743080100|1743083400|A1,XAUUSD.s|1|1743080100|1743083400,1,1,NO,PASS
T007,2025_APRIL,XAUUSD.s|-1|1744055100|1744056600|A1,XAUUSD.s|-1|1744055100|1744056600,1,1,NO,PASS
T008,2025_APRIL,XAUUSD.s|1|1744069200|1744069500|A1,XAUUSD.s|1|1744069200|1744069500,1,1,NO,PASS
T009,2025_APRIL,XAUUSD.s|-1|1744108500|1744115400|A2,XAUUSD.s|-1|1744108500|1744115400,1,1,NO,PASS
T010,2025_APRIL,XAUUSD.s|1|1744874700|1744875000|A2,XAUUSD.s|1|1744874700|1744875000,1,1,NO,PASS
T011,2025_APRIL,XAUUSD.s|-1|1745412900|1745413200|A1,XAUUSD.s|-1|1745412900|1745413200,1,1,NO,PASS
T012,2025_APRIL,XAUUSD.s|-1|1745426100|1745426400|A1,XAUUSD.s|-1|1745426100|1745426400,1,1,NO,PASS
T013,2025_APRIL,XAUUSD.s|-1|1745439900|1745440800|A1,XAUUSD.s|-1|1745439900|1745440800,1,1,NO,PASS
T014,2025_APRIL,XAUUSD.s|-1|1745472900|1745473500|A1,XAUUSD.s|-1|1745472900|1745473500,1,1,NO,PASS
T015,2025_APRIL,XAUUSD.s|-1|1745619000|1745619300|A2,XAUUSD.s|-1|1745619000|1745619300,1,1,NO,PASS
T016,2025_APRIL,XAUUSD.s|-1|1745848500|1745848800|A1,XAUUSD.s|-1|1745848500|1745848800,1,1,NO,PASS
T017,2025_APRIL,XAUUSD.s|-1|1745859900|1745860200|A2,XAUUSD.s|-1|1745859900|1745860200,1,1,NO,PASS
T018,2025_APRIL,XAUUSD.s|-1|1745869800|1745870100|A2,XAUUSD.s|-1|1745869800|1745870100,1,1,NO,PASS
T019,2025_APRIL,XAUUSD.s|1|1745995500|1745995800|A2,XAUUSD.s|1|1745995500|1745995800,1,1,NO,PASS
T020,2025_SEPTEMBER,XAUUSD.s|1|1756805700|1756806000|A1,XAUUSD.s|1|1756805700|1756806000,1,1,NO,PASS
T021,2025_SEPTEMBER,XAUUSD.s|1|1756862700|1756863000|A1,XAUUSD.s|1|1756862700|1756863000,1,1,NO,PASS
T022,2025_SEPTEMBER,XAUUSD.s|1|1756867800|1756868100|A1,XAUUSD.s|1|1756867800|1756868100,1,1,NO,PASS
T023,2025_SEPTEMBER,XAUUSD.s|1|1756977600|1757009400|A1,XAUUSD.s|1|1756977600|1757009400,1,1,NO,PASS
T024,2025_SEPTEMBER,XAUUSD.s|1|1757315100|1757315400|A2,XAUUSD.s|1|1757315100|1757315400,1,1,NO,PASS
T025,2025_SEPTEMBER,XAUUSD.s|1|1757434800|1757436600|A2,XAUUSD.s|1|1757434800|1757436600,1,1,NO,PASS
T026,2025_SEPTEMBER,XAUUSD.s|-1|1757441400|1757442000|A1,XAUUSD.s|-1|1757441400|1757442000,1,1,NO,PASS
T027,2025_SEPTEMBER,XAUUSD.s|-1|1757916600|1757916900|A1,XAUUSD.s|-1|1757916600|1757916900,1,1,NO,PASS
T028,2025_SEPTEMBER,XAUUSD.s|-1|1757937300|1757937600|A1,XAUUSD.s|-1|1757937300|1757937600,1,1,NO,PASS
T029,2025_SEPTEMBER,XAUUSD.s|-1|1757950200|1757950500|A2,XAUUSD.s|-1|1757950200|1757950500,1,1,NO,PASS
T030,2025_SEPTEMBER,XAUUSD.s|1|1758039900|1758051300|A1,XAUUSD.s|1|1758039900|1758051300,1,1,NO,PASS
T031,2025_SEPTEMBER,XAUUSD.s|1|1758087900|1758088500|A1,XAUUSD.s|1|1758087900|1758088500,1,1,NO,PASS
T032,2025_SEPTEMBER,XAUUSD.s|-1|1758268200|1758268500|A2,XAUUSD.s|-1|1758268200|1758268500,1,1,NO,PASS
T033,2025_SEPTEMBER,XAUUSD.s|-1|1758636600|1758664800|A1,XAUUSD.s|-1|1758636600|1758664800,1,1,NO,PASS
T034,2026_MARCH,XAUUSD.s|1|1772503800|1772505000|A1,XAUUSD.s|1|1772503800|1772505000,1,1,NO,PASS
T035,2026_MARCH,XAUUSD.s|-1|1772667000|1772667300|A2,XAUUSD.s|-1|1772667000|1772667300,1,1,NO,PASS
T036,2026_MARCH,XAUUSD.s|-1|1772693100|1772704500|A1,XAUUSD.s|-1|1772693100|1772704500,1,1,NO,PASS
T037,2026_MARCH,XAUUSD.s|-1|1772780700|1772781000|A1,XAUUSD.s|-1|1772780700|1772781000,1,1,NO,PASS
T038,2026_MARCH,XAUUSD.s|-1|1772822100|1772822400|A1,XAUUSD.s|-1|1772822100|1772822400,1,1,NO,PASS
T039,2026_MARCH,XAUUSD.s|-1|1772822100|1772822400|A2,XAUUSD.s|-1|1772822100|1772822400,1,1,NO,PASS
T040,2026_MARCH,XAUUSD.s|-1|1773122100|1773122400|A1,XAUUSD.s|-1|1773122100|1773122400,1,1,NO,PASS
T041,2026_MARCH,XAUUSD.s|1|1773198900|1773220500|A1,XAUUSD.s|1|1773198900|1773220500,1,1,NO,PASS
T042,2026_MARCH,XAUUSD.s|1|1773248400|1773250200|A1,XAUUSD.s|1|1773248400|1773250200,1,1,NO,PASS
T043,2026_MARCH,XAUUSD.s|-1|1773377700|1773378000|A1,XAUUSD.s|-1|1773377700|1773378000,1,1,NO,PASS
