trade_id,route,direction,actual_target_r,exit_reason,mfe_r,mae_r,net,result_interpretation
T001,A_HEALTHY_FIRST_RESUME,BUY,2.1433,STOP,1.4270,-1.0112,-49.84,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T002,A_HEALTHY_FIRST_RESUME,BUY,3.2578,STOP,0.2031,-1.0586,-46.08,未达到1R MFE即触及结构止损
T003,A_HEALTHY_FIRST_RESUME,BUY,2.3995,STOP,0.0000,-1.0082,-47.84,未达到1R MFE即触及结构止损
T004,B_COMPLEX_H2_L2,BUY,2.2335,TARGET,2.2562,-0.1612,108.10,实际目标先触及
T005,A_HEALTHY_FIRST_RESUME,BUY,2.5042,STOP,2.0390,-1.0028,-46.67,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T006,A_HEALTHY_FIRST_RESUME,BUY,2.2356,TARGET,2.3775,-0.1593,100.20,实际目标先触及
T007,A_HEALTHY_FIRST_RESUME,SELL,2.0202,STOP,0.1353,-1.0047,-45.01,未达到1R MFE即触及结构止损
T008,A_HEALTHY_FIRST_RESUME,BUY,2.0261,TARGET,2.0745,-0.6611,96.24,实际目标先触及
T009,B_COMPLEX_H2_L2,SELL,2.9151,STOP,0.2989,-1.0129,-48.78,未达到1R MFE即触及结构止损
T010,B_COMPLEX_H2_L2,BUY,7.3444,STOP,0.9389,-1.0000,-48.60,未达到1R MFE即触及结构止损
T011,A_HEALTHY_FIRST_RESUME,SELL,2.1379,STOP,1.3106,-1.0044,-48.23,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T012,A_HEALTHY_FIRST_RESUME,SELL,2.8450,STOP,1.9710,-1.0340,-40.00,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T013,A_HEALTHY_FIRST_RESUME,SELL,2.1577,STOP,1.2158,-1.0060,-47.04,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T014,A_HEALTHY_FIRST_RESUME,SELL,3.7833,STOP,2.0439,-1.0038,-39.60,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T015,B_COMPLEX_H2_L2,SELL,8.3585,STOP,0.1709,-1.0504,-46.41,未达到1R MFE即触及结构止损
T016,A_HEALTHY_FIRST_RESUME,SELL,2.7814,STOP,0.2561,-1.0082,-42.91,未达到1R MFE即触及结构止损
T017,B_COMPLEX_H2_L2,SELL,2.3025,STOP,0.2114,-1.0097,-46.41,未达到1R MFE即触及结构止损
T018,B_COMPLEX_H2_L2,SELL,2.6555,STOP,0.2440,-1.0032,-43.89,未达到1R MFE即触及结构止损
T019,B_COMPLEX_H2_L2,BUY,2.5281,STOP,1.3020,-1.0531,-46.13,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T020,A_HEALTHY_FIRST_RESUME,BUY,2.2254,STOP,0.3201,-1.0189,-47.52,未达到1R MFE即触及结构止损
T021,A_HEALTHY_FIRST_RESUME,BUY,2.3939,TARGET,2.4286,-0.1948,110.60,实际目标先触及
T022,A_HEALTHY_FIRST_RESUME,BUY,2.0885,TARGET,2.1239,-0.1040,103.84,实际目标先触及
T023,A_HEALTHY_FIRST_RESUME,BUY,2.4396,STOP,1.4305,-1.0091,-48.29,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T024,B_COMPLEX_H2_L2,BUY,2.5977,TARGET,2.6140,-0.3860,122.87,实际目标先触及
T025,B_COMPLEX_H2_L2,BUY,2.4363,STOP,0.6974,-1.1967,-43.32,未达到1R MFE即触及结构止损
T026,A_HEALTHY_FIRST_RESUME,SELL,2.0556,TARGET,2.0596,-0.2818,91.02,实际目标先触及
T027,A_HEALTHY_FIRST_RESUME,SELL,4.2730,STOP,0.1523,-1.0115,-48.72,未达到1R MFE即触及结构止损
T028,A_HEALTHY_FIRST_RESUME,SELL,2.1296,STOP,1.6587,-1.0086,-50.93,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T029,B_COMPLEX_H2_L2,SELL,2.0983,STOP,0.0000,-1.0000,-47.30,未达到1R MFE即触及结构止损
T030,A_HEALTHY_FIRST_RESUME,BUY,2.4659,STOP,1.0295,-1.0203,-48.87,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T031,A_HEALTHY_FIRST_RESUME,BUY,3.3416,STOP,0.9800,-1.0150,-48.12,未达到1R MFE即触及结构止损
T032,B_COMPLEX_H2_L2,SELL,3.7674,STOP,2.6867,-1.0319,-47.97,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T033,A_HEALTHY_FIRST_RESUME,SELL,2.0366,STOP,0.3760,-1.0116,-48.08,未达到1R MFE即触及结构止损
T034,A_HEALTHY_FIRST_RESUME,BUY,2.0980,STOP,0.8934,-1.0341,-37.54,未达到1R MFE即触及结构止损
T035,B_COMPLEX_H2_L2,SELL,31.8029,STOP,3.4234,-1.0511,-49.32,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T036,A_HEALTHY_FIRST_RESUME,SELL,2.9423,STOP,2.0488,-1.0055,-45.05,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T037,A_HEALTHY_FIRST_RESUME,SELL,2.5975,TARGET,2.8075,-0.4486,125.07,实际目标先触及
T038,A_HEALTHY_FIRST_RESUME,SELL,3.6137,STOP,0.2481,-1.0053,-33.86,未达到1R MFE即触及结构止损
T039,B_COMPLEX_H2_L2,SELL,3.8249,STOP,2.0403,-2.7776,-43.40,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T040,A_HEALTHY_FIRST_RESUME,SELL,3.3166,STOP,0.7892,-1.0077,-46.88,未达到1R MFE即触及结构止损
T041,A_HEALTHY_FIRST_RESUME,BUY,2.4223,STOP,0.0000,-1.0300,-45.28,未达到1R MFE即触及结构止损
T042,A_HEALTHY_FIRST_RESUME,BUY,2.1874,STOP,0.7719,-1.1025,-43.32,未达到1R MFE即触及结构止损
T043,A_HEALTHY_FIRST_RESUME,SELL,5.1603,TARGET,5.2494,-0.3377,189.33,实际目标先触及
T044,A_HEALTHY_FIRST_RESUME,SELL,3.6672,STOP,3.1228,-1.0275,-37.14,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T045,A_HEALTHY_FIRST_RESUME,SELL,5.4365,STOP,0.1073,-1.0000,-48.66,未达到1R MFE即触及结构止损
T046,A_HEALTHY_FIRST_RESUME,SELL,2.2483,STOP,0.9352,-1.0060,-46.88,未达到1R MFE即触及结构止损
T047,A_HEALTHY_FIRST_RESUME,SELL,2.1449,STOP,1.5735,-1.0021,-48.30,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T048,A_HEALTHY_FIRST_RESUME,SELL,2.6536,STOP,0.5617,-1.0033,-45.75,未达到1R MFE即触及结构止损
T049,A_HEALTHY_FIRST_RESUME,SELL,2.7439,TARGET,2.7653,-0.0417,113.16,实际目标先触及
T050,A_HEALTHY_FIRST_RESUME,SELL,2.0469,STOP,1.1946,-1.0031,-39.00,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T051,A_HEALTHY_FIRST_RESUME,SELL,2.2524,STOP,0.0668,-1.0246,-43.98,未达到1R MFE即触及结构止损
T052,A_HEALTHY_FIRST_RESUME,SELL,2.1917,STOP,0.5413,-1.0014,-43.30,未达到1R MFE即触及结构止损
T053,B_COMPLEX_H2_L2,SELL,3.9807,TARGET,3.9899,-0.8540,157.08,实际目标先触及
T054,A_HEALTHY_FIRST_RESUME,SELL,2.7625,STOP,1.7966,-1.0057,-45.72,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T055,A_HEALTHY_FIRST_RESUME,SELL,2.5803,TARGET,2.6595,-0.1100,125.25,实际目标先触及
T056,A_HEALTHY_FIRST_RESUME,SELL,2.3555,STOP,0.1979,-1.0000,-43.26,未达到1R MFE即触及结构止损
T057,A_HEALTHY_FIRST_RESUME,SELL,2.6500,STOP,0.4574,-1.0014,-29.60,未达到1R MFE即触及结构止损
T058,A_HEALTHY_FIRST_RESUME,SELL,11.2934,STOP,4.1229,-1.0139,-40.36,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T059,A_HEALTHY_FIRST_RESUME,SELL,21.8110,STOP,8.1342,-1.0019,-47.61,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T060,A_HEALTHY_FIRST_RESUME,SELL,2.4794,TARGET,2.5491,-0.9900,104.58,实际目标先触及
T061,B_COMPLEX_H2_L2,SELL,8.5626,STOP,0.7401,-1.0190,-44.17,未达到1R MFE即触及结构止损
T062,A_HEALTHY_FIRST_RESUME,SELL,3.7095,STOP,0.5955,-1.0000,-46.82,未达到1R MFE即触及结构止损
T063,A_HEALTHY_FIRST_RESUME,SELL,7.2321,STOP,0.4380,-1.0298,-42.92,未达到1R MFE即触及结构止损
T064,A_HEALTHY_FIRST_RESUME,SELL,2.6878,STOP,2.4874,-1.0098,-31.68,曾达到2R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T065,A_HEALTHY_FIRST_RESUME,SELL,3.0167,STOP,0.1616,-1.0063,-47.95,未达到1R MFE即触及结构止损
T066,A_HEALTHY_FIRST_RESUME,SELL,2.8896,TARGET,2.9097,-0.2642,129.60,实际目标先触及
T067,A_HEALTHY_FIRST_RESUME,SELL,2.4322,TARGET,2.4322,-0.0903,118.45,实际目标先触及
T068,B_COMPLEX_H2_L2,SELL,4.3083,STOP,0.0734,-1.0127,-44.12,未达到1R MFE即触及结构止损
T069,B_COMPLEX_H2_L2,BUY,2.4900,STOP,0.2394,-1.0287,-48.12,未达到1R MFE即触及结构止损
T070,B_COMPLEX_H2_L2,BUY,46.5000,STOP,0.1250,-1.1964,-49.28,未达到1R MFE即触及结构止损
T071,A_HEALTHY_FIRST_RESUME,BUY,3.6273,STOP,0.2025,-1.0015,-45.64,未达到1R MFE即触及结构止损
T072,B_COMPLEX_H2_L2,BUY,3.6667,STOP,0.2502,-1.0142,-40.05,未达到1R MFE即触及结构止损
T073,A_HEALTHY_FIRST_RESUME,BUY,2.1904,STOP,0.0347,-1.0028,-42.39,未达到1R MFE即触及结构止损
T074,A_HEALTHY_FIRST_RESUME,SELL,2.6085,TARGET,2.6184,-0.3205,117.93,实际目标先触及
T075,A_HEALTHY_FIRST_RESUME,SELL,2.9787,STOP,0.9310,-1.0071,-39.40,未达到1R MFE即触及结构止损
T076,B_COMPLEX_H2_L2,SELL,9.5290,STOP,0.2681,-1.0556,-45.54,未达到1R MFE即触及结构止损
T077,A_HEALTHY_FIRST_RESUME,SELL,2.4389,STOP,1.3639,-1.0110,-47.48,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误
T078,A_HEALTHY_FIRST_RESUME,BUY,2.0071,STOP,0.0518,-1.0143,-44.80,未达到1R MFE即触及结构止损
