sample_no,month,fill_time,route,side,attempt,outcome_group,net,mfe_r,setup_id,opportunity_id,context_class,signal_to_fill_minutes,entry_extension_r,selection_reason,review_trade_id,review_month,review_direction,review_route,review_setup_id,review_opportunity_id,review_attempt,review_opportunity_type,review_signal_bar_time,review_eligible_time,review_fill_time,review_exit_time,review_m15_background,review_m5_direction,review_m5_phase,review_local_regime,review_permission_reason,review_context_class,review_pullback_class,review_lifecycle_stage,review_lifecycle_log_reason,review_setup_stage,review_setup_origin,review_setup_observed_at,review_setup_extreme,review_signal_basis,review_optional_location,review_entry,review_sl,review_target,review_risk_distance,review_candidate_rr,review_actual_target_r,review_signal_close,review_entry_extension_r,review_signal_to_fill_minutes,review_volume,review_risk_usd,review_risk_pct,review_spread,review_slippage,review_commission,review_exit_price,review_exit_reason,review_net,review_mfe_r,review_mae_r,review_path_quality,review_same_setup_trade_count,review_signal_mechanical_verdict,review_signal_evidence,review_human_review_flags,review_plan_mechanical_verdict,review_plan_evidence,review_rule1_structure_gate,review_rule1_manual_note,review_rule2_pullback_stage,review_rule3_signal_timing,review_rule4_opportunity_identity,review_rule5_control_rr,review_five_rule_machine_verdict,review_result_interpretation,review_issue_bucket,review_human_choice,review_human_signal_bar,review_human_entry_method,review_human_reason
S01,2025_APRIL,2025.04.08 01:30:00,A_HEALTHY_FIRST_RESUME,1,1,WIN,96.24,2.0745,XAUUSD.s|1|1744069200|1744069500,XAUUSD.s|1|1744069200|1744069500|A1,TACTICAL_LOCAL_TREND,5,0.0084,M15与M5分歧的战术局部趋势,T008,2025_APRIL,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1744069200|1744069500,XAUUSD.s|1|1744069200|1744069500|A1,1,首次恢复,2025.04.08 01:25:00,2025.04.08 01:30:00,2025.04.08 01:30:00,2025.04.09 09:33:38,M15_BEAR,M5_BULL,RESUME,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,TACTICAL_LOCAL_TREND,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,PRELIMINARY,TACTICAL_PULLBACK,2025.04.07 23:45,2981.19,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,2985.85,2962.10,3033.97,23.7500,2.0261,2.0261,2985.6500,0.0084,5,0.02,47.50,0.4771,0.20,0.00,0.00,3033.97,TARGET,96.24,2.0745,-0.6611,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,M15与M5分歧的战术局部趋势,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
S02,2025_APRIL,2025.04.23 19:55:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-40.00,1.9710,XAUUSD.s|-1|1745426100|1745426400,XAUUSD.s|-1|1745426100|1745426400|A1,PRIMARY_ALIGNED,5,0.0010,固定分层:A_HEALTHY_FIRST_RESUME|SELL|LOSS,T012,2025_APRIL,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1745426100|1745426400,XAUUSD.s|-1|1745426100|1745426400|A1,1,首次恢复,2025.04.23 19:50:00,2025.04.23 19:55:00,2025.04.23 19:55:00,2025.04.24 01:05:12,M15_BEAR,M5_BULL,RESUME,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.23 18:55,3305.69,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,3297.69,3307.69,3269.24,10.0000,2.8450,2.8450,3297.7000,0.0010,5,0.04,40.00,0.4038,0.20,0.00,0.00,3307.69,STOP,-40.00,1.9710,-1.0340,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
S03,2025_APRIL,2025.04.28 18:40:00,B_COMPLEX_H2_L2,-1,2,LOSS,-46.41,0.2114,XAUUSD.s|-1|1745859900|1745860200,XAUUSD.s|-1|1745859900|1745860200|A2,PRIMARY_ALIGNED,5,-0.0019,固定分层:B_COMPLEX_H2_L2|SELL|LOSS,T017,2025_APRIL,SELL,B_COMPLEX_H2_L2,XAUUSD.s|-1|1745859900|1745860200,XAUUSD.s|-1|1745859900|1745860200|A2,2,第二次测试,2025.04.28 18:35:00,2025.04.28 18:40:00,2025.04.28 18:40:00,2025.04.28 19:13:39,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.28 17:10,3332.99,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,3322.49,3337.96,3286.87,15.4700,2.3025,2.3025,3322.4600,-0.0019,5,0.03,46.41,0.4790,0.20,0.00,0.00,3337.96,STOP,-46.41,0.2114,-1.0097,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
S04,2025_APRIL,2025.04.28 20:55:01,B_COMPLEX_H2_L2,-1,2,LOSS,-43.89,0.2440,XAUUSD.s|-1|1745869800|1745870100,XAUUSD.s|-1|1745869800|1745870100|A2,PRIMARY_ALIGNED,5,0.0287,固定分层:B_COMPLEX_H2_L2|SELL|LOSS,T018,2025_APRIL,SELL,B_COMPLEX_H2_L2,XAUUSD.s|-1|1745869800|1745870100,XAUUSD.s|-1|1745869800|1745870100|A2,2,第二次测试,2025.04.28 20:50:00,2025.04.28 20:55:00,2025.04.28 20:55:01,2025.04.28 21:24:46,M15_BEAR,M5_BULL,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.28 19:55,3338.98,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,3335.67,3341.94,3319.02,6.2700,2.6555,2.6555,3335.8500,0.0287,5,0.07,43.89,0.4551,0.20,0.00,0.00,3341.94,STOP,-43.89,0.2440,-1.0032,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,入场信号位置待人工判断,,,,
S05,2025_APRIL,2025.04.30 07:45:00,B_COMPLEX_H2_L2,1,2,LOSS,-46.13,1.3020,XAUUSD.s|1|1745995500|1745995800,XAUUSD.s|1|1745995500|1745995800|A2,PRIMARY_ALIGNED,5,0.0410,固定分层:B_COMPLEX_H2_L2|BUY|LOSS,T019,2025_APRIL,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1745995500|1745995800,XAUUSD.s|1|1745995500|1745995800|A2,2,第二次测试,2025.04.30 07:40:00,2025.04.30 07:45:00,2025.04.30 07:45:00,2025.04.30 11:11:00,M15_BULL,M5_BEAR,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_SIGNAL_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.04.30 06:50,3302.49,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,,3306.08,3299.49,3322.74,6.5900,2.5281,2.5281,3305.8100,0.0410,5,0.07,46.13,0.4806,0.20,0.00,0.00,3299.49,STOP,-46.13,1.3020,-1.0531,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
S06,2025_SEPTEMBER,2025.09.03 02:50:00,A_HEALTHY_FIRST_RESUME,1,1,WIN,110.60,2.4286,XAUUSD.s|1|1756862700|1756863000,XAUUSD.s|1|1756862700|1756863000|A1,PRIMARY_ALIGNED,5,0.0411,固定分层:A_HEALTHY_FIRST_RESUME|BUY|WIN,T021,2025_SEPTEMBER,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1756862700|1756863000,XAUUSD.s|1|1756862700|1756863000|A1,1,首次恢复,2025.09.03 02:45:00,2025.09.03 02:50:00,2025.09.03 02:50:00,2025.09.03 03:24:05,M15_BULL,M5_BEAR,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,PRELIMINARY,PRIMARY_RECOVERY,2025.09.03 01:30,3526.31,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,3528.93,3524.31,3539.99,4.6200,2.3939,2.3939,3528.7400,0.0411,5,0.10,46.20,0.4642,0.14,0.00,0.00,3539.99,TARGET,110.60,2.4286,-0.1948,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
S07,2025_SEPTEMBER,2025.09.03 03:10:01,A_HEALTHY_FIRST_RESUME,1,1,WIN,103.84,2.1239,XAUUSD.s|1|1756867800|1756868100,XAUUSD.s|1|1756867800|1756868100|A1,PRIMARY_ALIGNED,5,0.0376,固定分层:A_HEALTHY_FIRST_RESUME|BUY|WIN,T022,2025_SEPTEMBER,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1756867800|1756868100,XAUUSD.s|1|1756867800|1756868100|A1,1,首次恢复,2025.09.03 03:05:00,2025.09.03 03:10:00,2025.09.03 03:10:01,2025.09.03 03:24:05,M15_BULL,M5_BULL,RESUME,PRIMARY_ALIGNED,PRIMARY_AND_M5_ALIGNED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,CONFIRMED,ALIGNED_PULLBACK,2025.09.03 02:55,3528.03,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,3530.55,3526.03,3539.99,4.5200,2.0885,2.0885,3530.3800,0.0376,5,0.11,49.72,0.4996,0.14,0.00,0.00,3539.99,TARGET,103.84,2.1239,-0.1040,REAL_TICK,1,机械规则通过,Route、生命周期、权限、因果链和去重检查通过,,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,机械规则与计划均通过且盈利,,,,
S08,2025_SEPTEMBER,2025.09.04 21:10:00,A_HEALTHY_FIRST_RESUME,1,1,LOSS,-48.29,1.4305,XAUUSD.s|1|1756977600|1757009400,XAUUSD.s|1|1756977600|1757009400|A1,PRIMARY_ALIGNED,5,0.0273,固定分层:A_HEALTHY_FIRST_RESUME|BUY|LOSS,T023,2025_SEPTEMBER,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1756977600|1757009400,XAUUSD.s|1|1756977600|1757009400|A1,1,首次恢复,2025.09.04 21:05:00,2025.09.04 21:10:00,2025.09.04 21:10:00,2025.09.05 01:45:32,M15_BULL,M5_BEAR,RESUME,PRIMARY_PULLBACK,OPPOSITE_M5_PAUSE_NO_AUTO_COUNTER,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_FIRST_RECOVERY_ENTRY_READY,CONFIRMED,PRIMARY_RECOVERY,2025.09.04 20:25,3542.59,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,,3544.73,3540.34,3555.44,4.3900,2.4396,2.4396,3544.6100,0.0273,5,0.11,48.29,0.4750,0.14,0.00,0.00,3540.34,STOP,-48.29,1.4305,-1.0091,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,曾达到1R以上MFE后最终止损；只说明需要检查管理，不证明退出错误,入场信号位置待人工判断,,,,
S09,2025_SEPTEMBER,2025.09.08 08:05:00,B_COMPLEX_H2_L2,1,2,WIN,122.87,2.6140,XAUUSD.s|1|1757315100|1757315400,XAUUSD.s|1|1757315100|1757315400|A2,PRIMARY_ALIGNED,5,0.0326,固定分层:B_COMPLEX_H2_L2|BUY|WIN,T024,2025_SEPTEMBER,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1757315100|1757315400,XAUUSD.s|1|1757315100|1757315400|A2,2,第二次测试,2025.09.08 08:00:00,2025.09.08 08:05:00,2025.09.08 08:05:00,2025.09.08 09:14:57,M15_BULL,M5_BEAR,WEAKENING,INDEPENDENT_LOCAL_TREND,TACTICAL_SHADOW_REVIEW,PRIMARY_ALIGNED,COMPLEX,ENTRY_READY,SECOND_TEST_STRONG_ENGULF_ENTRY_READY,CONFIRMED,PRIMARY_RECOVERY,2025.09.08 07:10,3581.47,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,,3583.16,3578.86,3594.33,4.3000,2.5977,2.5977,3583.0200,0.0326,5,0.11,47.30,0.4675,0.14,0.00,0.00,3594.33,TARGET,122.87,2.6140,-0.3860,REAL_TICK,1,机械规则通过，需人工看图,Route、生命周期、权限、因果链和去重检查通过,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,实际目标先触及,入场信号位置待人工判断,,,,
S10,2026_MARCH,2026.03.06 19:05:00,A_HEALTHY_FIRST_RESUME,-1,1,LOSS,-33.86,0.2481,XAUUSD.s|-1|1772822100|1772822400,XAUUSD.s|-1|1772822100|1772822400|A1,PRIMARY_ALIGNED,5,0.0213,同一setup多次入场尝试,T038,2026_MARCH,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1772822100|1772822400,XAUUSD.s|-1|1772822100|1772822400|A1,1,首次恢复,2026.03.06 19:00:00,2026.03.06 19:05:00,2026.03.06 19:05:00,2026.03.06 19:33:15,M15_BEAR,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,ORDINARY_PAUSED,PRIMARY_ALIGNED,HEALTHY,ENTRY_READY,HEALTHY_STRONG_ENGULF_ENTRY_READY,CONFIRMED,ALIGNED_PULLBACK,2026.03.06 18:45,5148.33,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,,5133.40,5150.33,5072.22,16.9300,3.6137,3.6137,5133.7600,0.0213,5,0.02,33.86,0.3388,0.17,0.00,0.00,5150.33,STOP,-33.86,0.2481,-1.0053,REAL_TICK,2,机械规则通过,Route、生命周期、权限、因果链和去重检查通过,,计划计算通过,SL/Target方向、风险距离和成交时RR检查通过,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,未达到1R MFE即触及结构止损,机械规则与计划均通过但亏损,,,,
