trade_id,fill_time,direction,route,setup_id,opportunity_id,rule1_structure_gate,rule1_manual_note,rule2_pullback_stage,rule3_signal_timing,rule4_opportunity_identity,rule5_control_rr,five_rule_machine_verdict,human_review_flags
T001,2025.03.06 06:55:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1741232100|1741237200,XAUUSD.s|1|1741232100|1741237200|A1,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T002,2025.03.06 14:00:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1741267800|1741268100,XAUUSD.s|1|1741267800|1741268100|A1,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,
T003,2025.03.26 06:00:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1742964000|1742967000,XAUUSD.s|1|1742964000|1742967000|A1,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T004,2025.03.26 08:30:00,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1742964000|1742967000,XAUUSD.s|1|1742964000|1742967000|A2,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T005,2025.03.26 13:40:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1742995200|1742995800,XAUUSD.s|1|1742995200|1742995800|A1,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,
T006,2025.03.27 16:55:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1743080100|1743083400,XAUUSD.s|1|1743080100|1743083400|A1,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T007,2025.04.07 21:30:00,SELL,A_HEALTHY_FIRST_RESUME,XAUUSD.s|-1|1744055100|1744056600,XAUUSD.s|-1|1744055100|1744056600|A1,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T008,2025.04.08 01:30:00,BUY,A_HEALTHY_FIRST_RESUME,XAUUSD.s|1|1744069200|1744069500,XAUUSD.s|1|1744069200|1744069500|A1,PASS,无额外状态冲突标记,PASS,PASS,PASS,PASS,5/5 PASS,M15与M5分歧的战术局部趋势
T009,2025.04.08 14:40:00,SELL,B_COMPLEX_H2_L2,XAUUSD.s|-1|1744108500|1744115400,XAUUSD.s|-1|1744108500|1744115400|A2,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
T010,2025.04.17 09:35:00,BUY,B_COMPLEX_H2_L2,XAUUSD.s|1|1744874700|1744875000,XAUUSD.s|1|1744874700|1744875000|A2,PASS,需人工判断回调是否已演变为独立反向趋势,PASS,PASS,PASS,PASS,5/5 PASS,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置
